recording has been started
action target inititated
recorded at 3.26803
recorded at 3.26833
recorded at 3.26873
recorded at 3.26908
recorded at 3.26924
recorded at 3.26937
recorded at 3.2695
recorded at 3.26964
recorded at 3.26977
recorded at 3.2699
recorded at 3.27004
recorded at 3.27017
recorded at 3.27029
recorded at 3.27044
recorded at 3.27057
recorded at 3.2707
recorded at 3.27088
recorded at 3.27108
recorded at 3.27128
recorded at 3.2715
recorded at 3.2717
recorded at 3.27187
recorded at 3.272
recorded at 3.27213
recorded at 3.27225
recorded at 3.27239
recorded at 3.27252
recorded at 3.27264
recorded at 3.27278
recorded at 3.27292
recorded at 3.27307
recorded at 3.27321
recorded at 3.27335
recorded at 3.27349
recorded at 3.27364
recorded at 3.27379
recorded at 3.27395
recorded at 3.27409
recorded at 3.27427
recorded at 3.27442
recorded at 3.27458
recorded at 3.27509
recorded at 3.27522
recorded at 3.27535
recorded at 3.27549
recorded at 3.27562
recorded at 3.2758
recorded at 3.27595
recorded at 3.27609
recorded at 3.27623
recorded at 3.27637
recorded at 3.27652
recorded at 3.27666
recorded at 3.27682
recorded at 3.27695
recorded at 3.27708
recorded at 3.27722
recorded at 3.27736
recorded at 3.27749
recorded at 3.27764
recorded at 3.2778
recorded at 3.27795
recorded at 3.2781
recorded at 3.27824
recorded at 3.2784
recorded at 3.27854
recorded at 3.27869
recorded at 3.27886
recorded at 3.27898
recorded at 3.27911
recorded at 3.27924
recorded at 3.27937
recorded at 3.27956
recorded at 3.27968
recorded at 3.27983
recorded at 3.27999
recorded at 3.28016
recorded at 3.28032
recorded at 3.2805
recorded at 3.28068
recorded at 3.28083
recorded at 3.28096
recorded at 3.28111
recorded at 3.28124
recorded at 3.28137
recorded at 3.28151
recorded at 3.28165
recorded at 3.28181
recorded at 3.28196
recorded at 3.28213
recorded at 3.28229
recorded at 3.28244
recorded at 3.28259
recorded at 3.28276
recorded at 3.28296
recorded at 3.28311
recorded at 3.28326
recorded at 3.28341
recorded at 3.28357
recorded at 3.28376
recorded at 3.2839
recorded at 3.28434
recorded at 3.2845
recorded at 3.28466
recorded at 3.28481
recorded at 3.28498
recorded at 3.28513
recorded at 3.28528
recorded at 3.28543
recorded at 3.2856
recorded at 3.28576
recorded at 3.2859
recorded at 3.28608
recorded at 3.28622
recorded at 3.28637
recorded at 3.28653
recorded at 3.28671
recorded at 3.28686
recorded at 3.28701
recorded at 3.28716
recorded at 3.28732
recorded at 3.28747
recorded at 3.28762
recorded at 3.28779
recorded at 3.28794
recorded at 3.28807
recorded at 3.2882
recorded at 3.28833
recorded at 3.28847
recorded at 3.28861
recorded at 3.28875
recorded at 3.28888
recorded at 3.28902
recorded at 3.28915
recorded at 3.28929
recorded at 3.28943
recorded at 3.28957
recorded at 3.2897
recorded at 3.28983
recorded at 3.28998
recorded at 3.29011
recorded at 3.29024
recorded at 3.29039
recorded at 3.29053
recorded at 3.29066
recorded at 3.2908
recorded at 3.29096
recorded at 3.29109
recorded at 3.29123
recorded at 3.29136
recorded at 3.2915
recorded at 3.29165
recorded at 3.29183
recorded at 3.292
recorded at 3.29216
recorded at 3.29266
recorded at 3.29285
recorded at 3.29298
recorded at 3.29312
recorded at 3.29326
recorded at 3.2934
recorded at 3.29354
recorded at 3.29368
recorded at 3.29383
recorded at 3.29397
recorded at 3.29411
recorded at 3.29425
recorded at 3.2944
recorded at 3.29453
recorded at 3.29467
recorded at 3.29482
recorded at 3.29495
recorded at 3.29509
recorded at 3.29523
recorded at 3.29537
recorded at 3.2955
recorded at 3.29565
recorded at 3.29579
recorded at 3.29593
recorded at 3.29606
recorded at 3.29621
recorded at 3.29635
recorded at 3.29648
recorded at 3.29662
recorded at 3.29678
recorded at 3.29693
recorded at 3.29707
recorded at 3.2972
recorded at 3.29734
recorded at 3.29748
recorded at 3.29763
recorded at 3.29779
recorded at 3.29794
recorded at 3.29807
recorded at 3.2982
recorded at 3.29834
recorded at 3.29847
recorded at 3.29859
recorded at 3.29871
recorded at 3.29887
recorded at 3.29904
recorded at 3.29922
recorded at 3.2994
recorded at 3.29957
recorded at 3.29977
recorded at 3.29989
recorded at 3.30027
recorded at 3.3004
recorded at 3.30052
recorded at 3.30063
recorded at 3.3008
recorded at 3.30097
recorded at 3.30112
recorded at 3.30128
recorded at 3.30142
recorded at 3.30158
recorded at 3.30174
recorded at 3.30201
recorded at 3.3022
recorded at 3.30235
recorded at 3.30251
recorded at 3.30265
recorded at 3.3028
recorded at 3.30296
recorded at 3.30312
recorded at 3.3033
recorded at 3.30345
recorded at 3.30358
recorded at 3.3037
recorded at 3.30387
recorded at 3.30402
recorded at 3.30418
recorded at 3.30434
recorded at 3.3045
recorded at 3.30466
recorded at 3.30482
recorded at 3.30497
recorded at 3.30509
recorded at 3.30522
recorded at 3.30536
recorded at 3.30549
recorded at 3.3057
recorded at 3.30583
recorded at 3.30594
recorded at 3.30606
recorded at 3.30617
recorded at 3.30628
recorded at 3.30641
recorded at 3.30653
recorded at 3.30664
recorded at 3.30677
recorded at 3.30689
recorded at 3.30701
recorded at 3.30714
recorded at 3.30727
recorded at 3.30741
recorded at 3.30755
recorded at 3.30766
recorded at 3.30779
recorded at 3.30791
recorded at 3.30844
recorded at 3.30858
recorded at 3.30877
recorded at 3.3089
recorded at 3.30902
recorded at 3.30913
recorded at 3.30925
recorded at 3.30939
recorded at 3.30954
recorded at 3.30967
recorded at 3.30982
recorded at 3.30997
recorded at 3.31012
recorded at 3.31027
recorded at 3.31042
recorded at 3.31058
recorded at 3.31073
recorded at 3.31088
recorded at 3.311
recorded at 3.31113
recorded at 3.31125
recorded at 3.31137
recorded at 3.3115
recorded at 3.31162
recorded at 3.31175
recorded at 3.3119
recorded at 3.31206
recorded at 3.31223
recorded at 3.31239
recorded at 3.31254
recorded at 3.3127
recorded at 3.31287
recorded at 3.313
recorded at 3.31314
recorded at 3.31328
recorded at 3.31342
recorded at 3.31357
recorded at 3.31377
recorded at 3.31392
recorded at 3.31406
recorded at 3.31421
recorded at 3.31434
recorded at 3.31448
recorded at 3.31462
recorded at 3.31476
recorded at 3.31489
recorded at 3.31503
recorded at 3.31517
recorded at 3.31531
recorded at 3.31544
recorded at 3.31558
recorded at 3.31573
recorded at 3.31588
recorded at 3.31627
recorded at 3.31639
recorded at 3.31651
recorded at 3.31664
recorded at 3.31676
recorded at 3.31693
recorded at 3.31707
recorded at 3.31722
recorded at 3.31736
recorded at 3.31751
recorded at 3.31768
recorded at 3.31783
recorded at 3.31796
recorded at 3.31808
recorded at 3.3182
recorded at 3.31833
recorded at 3.31845
recorded at 3.31857
recorded at 3.3187
recorded at 3.31884
recorded at 3.31898
recorded at 3.31912
recorded at 3.31925
recorded at 3.31941
